name,city,country,iata,icao,lat,lon,elev,tz,dst,olsontz
Dawson City,Dawson,Canada,YDA,CYDA,64.043056,-139.127778,1215,-8,A,America/Vancouver
Burwash,Burwash,Canada,YDB,CYDB,61.371111,-139.040556,2647,-8,A,America/Vancouver
Princeton,Princeton,Canada,YDC,CYDC,49.468056,-120.511389,2298,-8,A,America/Vancouver
Deer Lake,Deer Lake,Canada,YDF,CYDF,49.210833,-57.391388,72,-3.5,A,America/St_Johns
Dease Lake,Dease Lake,Canada,YDL,CYDL,58.422222,-130.032222,2600,-8,A,America/Vancouver
Dauphin Barker,Dauphin,Canada,YDN,CYDN,51.100834,-100.0525,999,-6,A,America/Winnipeg
Dawson Creek,Dawson Creek,Canada,YDQ,CYDQ,55.742333,-120.183,2148,-7,A,America/Dawson_Creek
Edmonton Intl,Edmonton,Canada,YEG,CYEG,53.309723,-113.579722,2373,-7,A,America/Edmonton
Arviat,Eskimo Point,Canada,YEK,CYEK,61.094166,-94.070833,32,-6,A,America/Winnipeg
Estevan,Estevan,Canada,YEN,CYEN,49.210278,-102.965833,1905,-6,N,America/Regina
Edson,Edson,Canada,YET,CYET,53.578888,-116.465,3041,-7,A,America/Edmonton
Eureka,Eureka,Canada,YEU,CYEU,79.994722,-85.814167,256,-6,A,America/Winnipeg
Inuvik Mike Zubko,Inuvik,Canada,YEV,CYEV,68.304167,-133.482778,224,-7,A,America/Edmonton
Iqaluit,Iqaluit,Canada,YFB,CYFB,63.75639,-68.555832,110,-5,A,America/Toronto
Fredericton,Fredericton,Canada,YFC,CYFC,45.868889,-66.537222,68,-4,A,America/Halifax
Forestville,Forestville,Canada,,CYFE,48.746111,-69.097222,293,-5,A,America/Toronto
Flin Flon,Flin Flon,Canada,YFO,CYFO,54.678055,-101.681667,997,-6,A,America/Winnipeg
Fort Resolution,Fort Resolution,Canada,YFR,CYFR,61.180832,-113.689722,526,-7,A,America/Edmonton
Fort Simpson,Fort Simpson,Canada,YFS,CYFS,61.760153,-121.236525,555,-7,A,America/Edmonton
Kingston,Kingston,Canada,YGK,CYGK,44.225277,-76.596944,305,-5,A,America/Toronto
La Grande Riviere,La Grande Riviere,Canada,YGL,CYGL,53.625278,-77.704167,639,-5,A,America/Toronto
Gaspe,Gaspe,Canada,YGP,CYGP,48.775278,-64.478611,108,-5,A,America/Toronto
Geraldton Greenstone Regional,Geraldton,Canada,YGQ,CYGQ,49.778332,-86.939445,1144,-5,A,America/Toronto
Iles De La Madeleine,Iles De La Madeleine,Canada,YGR,CYGR,47.424721,-61.778056,35,-5,A,America/Toronto
Hudson Bay,Hudson Bay,Canada,YHB,CYHB,52.816666,-102.31139,1175,-6,N,America/Regina
Dryden Rgnl,Dryden,Canada,YHD,CYHD,49.831667,-92.744167,1354,-6,A,America/Winnipeg
